34200000,206900,1500,Q,@O,0
34200000,206900,1500,Q,Q,0
34320000,202900,100,Q,@F,0
34386000,203000,100,P,Q,0
34386000,203000,100,P,,0
34395000,203000,100,Q,@F,0
34872000,206800,100,D,,0
35239000,207400,100,J,,0
35281000,207400,100,J,@F,0
35290000,207100,100,D,,0
35293000,206900,100,D,,0
36360000,207800,117,Z,,0
36876000,208200,100,K,@F,0
36955000,208100,100,Q,@F,0
36955000,208100,100,K,@F,0
37365000,209900,100,D,,0
37372000,208800,100,Q,,0
38019000,208800,382,D,,0
38053000,209200,100,D,,0
38062000,208700,100,Q,@F,0
38062000,208700,100,Z,@F,0
38068000,208300,100,Z,@F,0
38490000,207200,100,K,,0
38490000,207300,200,K,,0
39657000,206400,100,Z,,0
40554000,206300,200,K,,0
41013000,206400,100,D,,0
41033000,206400,100,Q,,0
41061000,206400,100,Z,,0
41107000,206400,100,Z,,0
41107000,206400,100,K,,0
41123000,205600,100,Q,,0
41123000,205600,100,D,@F,0
42022000,205600,100,K,@F,0
42022000,205500,100,K,@F,0
42022000,205500,100,Q,@F,0
42022000,205400,100,Q,@F,0
42022000,205000,100,X,@F,0
42024000,204700,199,Q,,0
42087000,204300,100,K,,0
42310000,204300,100,Q,,0
42310000,204100,100,Q,@F,0
42480000,204600,100,K,,0
42480000,204600,200,K,,0
42485000,204600,100,K,@F,0
42544000,204200,100,Q,,0
42849000,205000,1200,Z,,0
42850000,205600,100,Q,,0
42910000,205600,100,J,,0
42910000,205600,100,K,,0
42958000,205700,200,Q,@F,0
42958000,205700,100,Q,@F,0
42958000,205700,100,Q,@F,0
42958000,205700,100,K,@F,0
42958000,206100,100,D,,0
42958000,205800,100,P,@F,0
42958000,205700,100,P,@F,0
42960000,206300,100,D,,0
42974000,205300,100,Q,@F,0
43005000,205200,100,Q,,0
43008000,205300,100,Q,@F,0
43008000,205300,100,Q,@F,0
43008000,205300,100,Q,@F,0
43008000,205300,200,B,@F,0
43010000,205300,100,J,@F,0
43068000,204600,100,Q,,0
43470000,204800,100,Z,@F,0
43470000,204800,100,K,@F,0
43950000,204000,100,Q,,0
43952000,204000,100,P,,0
44023000,204500,100,Z,@F,0
44023000,204500,100,P,@F,0
44026000,204200,100,Q,@F,0
44073000,204300,100,Z,,0
44073000,204300,100,Q,,0
44307000,204500,100,Q,,0
44330000,205200,100,P,@F,0
44833000,205600,100,K,@F,0
47309000,205400,200,K,,0
49570000,205600,100,Z,,0
49570000,205600,100,Z,,0
49570000,205600,100,K,,0
49570000,205600,100,Q,,0
49617000,205100,100,K,@F,0
50232000,204900,100,Z,,0
50366000,204500,100,Q,@F,0
50366000,204500,200,K,@F,0
50424000,204000,100,Z,,0
50871000,204000,100,P,@F,0
51006000,204700,100,P,,0
51012000,204600,100,Q,@F,0
51012000,204600,100,K,@F,0
51012000,204600,100,K,@F,0
51159000,204400,100,P,,0
51516000,206200,100,Q,,0
51578000,205400,100,Z,,0
51715000,205700,100,D,,0
51717000,205800,100,D,,0
51759000,205500,100,Z,@F,0
51767000,205300,100,K,,0
52107000,205400,100,D,@4,0
52247000,204400,100,D,,0
52508000,204500,100,Q,@F,0
52528000,204500,100,K,,0
52528000,204500,200,K,,0
52617000,204200,100,P,,0
53319000,204700,439,D,,0
53334000,204800,100,Q,@F,0
53525000,204700,100,Z,,0
54145000,204900,100,Q,@F,0
54780000,204600,100,Q,@F,0
54780000,204600,141,K,,0
54807000,204200,100,D,,0
55194000,205000,100,Q,@F,0
55194000,205000,100,J,@F,0
55254000,205000,100,Q,@F,0
55298000,205200,100,Y,,0
55561000,205700,100,D,,0
55974000,205800,100,Q,@F,0
55974000,205800,100,Q,@F,0
55974000,205800,200,P,,0
55974000,205800,100,P,,0
55977000,205700,100,Z,@F,0
55977000,205700,100,Z,,0
56004000,205700,100,X,@F,0
56004000,205700,200,K,@F,0
56004000,205700,100,Q,,0
56004000,205700,100,K,@F,0
56282000,205500,100,Z,,0
56296000,205600,100,J,@F,0
56334000,205800,100,Q,@F,0
56399000,205900,100,B,@F,0
56418000,205900,100,P,@F,0
56577000,205200,100,Q,@F,0
56577000,205200,100,Z,@F,0
56577000,205200,100,Z,,0
56577000,205200,100,Z,,0
56577000,205200,100,Z,,0
56597000,204900,100,Q,,0
56678000,204600,100,Q,@F,0
56812000,204900,100,D,,0
56813000,204900,100,Z,,0
56813000,204900,100,Q,,0
56827000,204800,100,K,,0
56838000,204800,100,K,,0
57000000,204800,100,D,,0
57000000,204800,100,Q,,0
57000000,204400,100,Q,,0
57000000,204400,100,Q,,0
57000000,204800,100,D,,0
57001000,204800,100,K,,0
57002000,205000,100,D,,0
57002000,205000,100,D,,0
57019000,204400,100,D,,0
57164000,204400,100,B,@F,0
57164000,204400,100,P,@F,0
57164000,204100,100,Q,@F,0
57164000,204000,282,Q,@F,0
57165000,204000,100,P,@F,0
57165000,204500,100,D,,0
57165000,204100,282,D,,0
57166000,204200,100,D,,0
57166000,204000,100,D,,0
57166000,204000,100,D,,0
57167000,204500,100,D,,0
57167000,204100,200,D,,0
57167000,204100,100,D,,0
57169000,204200,100,Q,,0
57240000,204000,198,Q,,0
57240000,204000,100,Z,,0
57261000,203600,100,D,,0
57327000,203900,124,Q,,0
57327000,203900,100,Q,,0
57327000,203900,100,Q,,0
57327000,203900,100,K,,0
57327000,203900,100,K,,0
57337000,204000,100,Q,@F,0
57344000,203900,100,P,@F,0
57346000,203800,100,Q,@F,0
57356000,203700,100,P,@F,0
57417000,203600,100,P,,0
57556000,203700,100,Q,,0
57570000,203900,100,Q,@F,0
57582000,203900,100,K,,0
57584000,203500,100,B,@F,0
57584000,203600,100,D,,0
57584000,203500,100,Q,,0
57584000,203600,100,Q,@F,0
57584000,203600,200,Q,@F,0
57585000,203800,100,D,,0
57586000,203300,126,Q,,0
57590000,203300,100,K,,0
57593000,203200,100,Q,@F,0
57599000,203300,100,Q,@F,0
57599000,203300,100,D,,0
57600000,203300,100,P,M,0
57601000,203200,7080,Q,@6,0
57601000,203200,7080,Q,M,0
57603000,203500,100,D,,0
57634000,203000,100,D,Z,0
57635000,203000,100,D,Z,0
57637000,203000,100,D,Z,0
59276000,203200,3258,D,@,0
