AGILENT TECHNOLOGIES INC,a,7581016,40.4300,37.0400,40.4300,37.2500
ALCOA INC,aa,39182108,11.3800,10.7500,11.3800,10.8000
ASSET ACCEPTANCE CAPITAL CORP,aacc,5096,3.0500,2.9500,2.9500,3.0100
ATLANTIC AMERICAN CORP,aame,5867,1.8300,1.7700,1.8300,1.8300
AARONS INC,aan,467324,27.1100,26.2600,26.6100,26.7600
AAON INC,aaon,73601,22.0800,20.6000,21.4500,21.1700
ADVANCE AUTO PARTS INC,aap,485985,66.0900,64.9500,65.3400,65.0700
APPLE INC,aapl,14313835,409.3300,400.7500,403.0000,404.3600
null,aapr,2250,79.5500,78.0000,79.0000,79.5500
null,aar,82141,14.5900,13.6300,14.5000,13.7700
