AGILENT TECHNOLOGIES INC,a,4005688,36.0000,34.8800,35.8100,35.7900
ALCOA INC,aa,34161707,9.7700,9.2700,9.6200,9.4900
ASSET ACCEPTANCE CAPITAL CORP,aacc,81902,3.1400,2.8200,2.9500,2.8600
ADVISORSHARES TRUST,aadr,2448,27.1100,26.8900,26.8900,27.0100
ATLANTIC AMERICAN CORP,aame,5725,1.9000,1.8400,1.8800,1.8400
AARONS INC,aan,362692,24.6200,24.0300,24.3300,24.4600
AAON INC,aaon,43808,20.9900,20.2900,20.6900,20.3200
ADVANCE AUTO PARTS INC,aap,677992,67.9200,66.5800,66.8900,67.6300
APPLE INC,aapl,16458024,374.9400,365.9100,369.1000,369.9500
null,aapr,600,81.2500,80.0000,80.0000,80.0000
