AGILENT TECHNOLOGIES INC,a,7730228,36.8600,35.2500,35.4400,36.5900
ALCOA INC,aa,15596089,12.4500,11.9200,11.9200,12.4200
ASSET ACCEPTANCE CAPITAL CORP,aacc,45093,4.1100,3.7700,4.1100,4.0000
null,aacou,400,9.9600,9.9500,9.9600,9.9500
ADVISORSHARES TRUST,aadr,1000,29.3100,29.3100,29.3100,29.3100
ATLANTIC AMERICAN CORP,aame,1189,1.9900,1.9500,1.9800,1.9900
AARONS INC,aan,258765,26.9700,26.2900,26.3600,26.8400
AAON INC,aaon,64193,17.3900,16.3600,16.4500,17.3500
ADVANCE AUTO PARTS INC,aap,955537,60.2400,59.5600,60.0000,59.9600
APPLE INC,aapl,14822704,391.5000,382.3000,386.6400,389.8000
