AGILENT TECHNOLOGIES INC,a,5119241,43.8700,41.8600,43.5900,42.4100
ALCOA INC,aa,32676682,16.5100,15.5000,16.4900,15.5700
ASSET ACCEPTANCE CAPITAL CORP,aacc,28395,5.5200,5.4000,5.4100,5.4200
null,aacou,300,10.0700,10.0700,10.0700,10.0700
null,aacow,4000,0.3200,0.3200,0.3200,0.3200
ADVISORSHARES TRUST,aadr,32228,29.2900,28.5500,29.2800,28.6800
AIRTRAN HOLDINGS INC,aai,2027918,7.4200,7.2900,7.4000,7.3200
ATLANTIC AMERICAN CORP,aame,2998,2.0700,2.0500,2.0600,2.0500
AARONS INC,aan,715228,23.6500,22.7600,22.9000,23.4600
AAON INC,aaon,49622,29.3000,28.3200,28.5500,28.8500
