AGILENT TECHNOLOGIES INC,a,2261026,50.6800,50.1000,50.3400,50.3900
ALCOA INC,aa,75051401,17.9600,17.0700,17.3000,17.8000
ASSET ACCEPTANCE CAPITAL CORP,aacc,22248,5.8900,5.1000,5.2000,5.1100
null,aacow,900,0.4500,0.4500,0.4500,0.4500
ADVISORSHARES TRUST,aadr,910,32.2500,31.6100,32.2500,31.6100
ATLANTIC AMERICAN CORP,aame,1400,2.1000,2.0700,2.1000,2.1000
AARONS INC,aan,295435,29.0500,28.6100,28.6600,28.6600
AAON INC,aaon,48874,32.6700,31.6700,32.5500,32.1000
ADVANCE AUTO PARTS INC,aap,774288,66.1300,65.0500,65.3600,65.6400
APPLE INC,aapl,11444909,349.8900,345.0000,345.7800,347.9500
