AGILENT TECHNOLOGIES INC,a,3037684,47.7600,46.3800,47.2000,46.8800
ALCOA INC,aa,24246431,15.1300,14.6200,14.9500,14.8300
ASSET ACCEPTANCE CAPITAL CORP,aacc,54616,3.3700,3.1300,3.2300,3.3500
ADVISORSHARES TRUST,aadr,1100,30.4300,29.9600,30.4300,30.1200
ATLANTIC AMERICAN CORP,aame,703,2.0500,1.9800,1.9800,2.0000
AARONS INC,aan,367795,26.0200,25.4600,25.6500,25.6500
AAON INC,aaon,69128,22.0700,21.3000,21.3000,21.9400
ADVANCE AUTO PARTS INC,aap,1707109,58.7500,57.0700,57.1800,58.4300
APPLE INC,aapl,18799604,328.6800,318.3300,327.2800,326.5000
null,aapr,200,74.7500,74.7500,74.7500,74.7500
