AGILENT TECHNOLOGIES INC,a,4196567,32.4600,31.0500,31.8300,32.4600
ALCOA INC,aa,37637854,10.1000,9.5500,10.1000,9.5700
ASSET ACCEPTANCE CAPITAL CORP,aacc,111298,3.4200,3.2600,3.3700,3.3700
ADVISORSHARES TRUST,aadr,7712,26.0200,25.7800,26.0200,25.7800
ATLANTIC AMERICAN CORP,aame,1703,1.9000,1.8800,1.8800,1.9000
AARONS INC,aan,469764,25.8800,24.9500,25.1100,25.2600
AAON INC,aaon,82222,16.4400,15.7000,16.1500,15.7500
ADVANCE AUTO PARTS INC,aap,880189,59.5000,58.0700,58.5600,58.4200
APPLE INC,aapl,20453596,391.8100,380.0000,391.8100,380.4000
null,aapr,1200,77.6600,76.3800,76.3800,77.6600
