AGILENT TECHNOLOGIES INC,a,2067833,42.7900,42.0700,42.1800,42.5000
ALCOA INC,aa,41639729,16.6000,15.7900,15.7900,16.5400
AUSTRALIA ACQUISITION CORP,aac,124881,9.7600,9.7100,9.7200,9.7200
ASSET ACCEPTANCE CAPITAL CORP,aacc,86036,6.0800,6.0200,6.0300,6.0500
null,aacou,80900,10.1000,9.9900,9.9900,10.0500
null,aacow,126500,0.3500,0.3100,0.3500,0.3200
AIRTRAN HOLDINGS INC,aai,2503530,7.5400,7.4800,7.4900,7.5300
ATLANTIC AMERICAN CORP,aame,2564,2.2000,2.1200,2.2000,2.1800
AARONS INC,aan,244652,20.4100,20.1200,20.1200,20.3700
AAON INC,aaon,22914,27.4700,26.7600,26.7600,27.1300
