AGILENT TECHNOLOGIES INC,a,3973448,51.8400,51.0000,51.1300,51.7300
ALCOA INC,aa,17610468,16.7200,16.3200,16.4600,16.7000
AUSTRALIA ACQUISITION CORP,aac,35176,9.6600,9.6500,9.6500,9.6600
ASSET ACCEPTANCE CAPITAL CORP,aacc,39237,4.5800,4.2300,4.2300,4.5700
ATLANTIC AMERICAN CORP,aame,500,2.0500,2.0400,2.0400,2.0400
AARONS INC,aan,352477,27.6300,26.9000,27.1900,27.6000
AAON INC,aaon,23740,32.9200,32.5600,32.5600,32.7100
ADVANCE AUTO PARTS INC,aap,1480481,70.7000,64.5200,69.8000,65.5000
APPLE INC,aapl,12249600,341.0500,335.2000,338.0000,340.5000
null,aar,8375,24.4500,24.2100,24.3400,24.3000
