AGILENT TECHNOLOGIES INC,a,3019218,37.0100,35.6100,36.9900,36.3100
ALCOA INC,aa,21016679,10.0200,9.7600,9.9500,9.9400
AUSTRALIA ACQUISITION CORP,aac,400,9.8300,9.8300,9.8300,9.8300
ASSET ACCEPTANCE CAPITAL CORP,aacc,17200,3.4700,3.4000,3.4600,3.4000
null,aacow,1500,0.3000,0.3000,0.3000,0.3000
ATLANTIC AMERICAN CORP,aame,9390,1.9900,1.9500,1.9900,1.9800
AARONS INC,aan,247222,27.1800,26.3800,26.7000,26.8500
AAON INC,aaon,99168,21.9000,21.3200,21.6200,21.4900
ADVANCE AUTO PARTS INC,aap,611302,70.3100,69.6300,69.7000,70.0500
APPLE INC,aapl,11127405,394.2000,386.7600,393.5000,390.0000
