AGILENT TECHNOLOGIES INC,a,7357643,34.6100,32.0000,34.5100,32.2300
ALCOA INC,aa,35245418,12.2100,11.4100,12.2100,11.5400
AUSTRALIA ACQUISITION CORP,aac,400,9.7400,9.7400,9.7400,9.7400
ASSET ACCEPTANCE CAPITAL CORP,aacc,14720,4.3200,3.9700,4.3200,4.1600
null,aacow,500,0.3900,0.3500,0.3500,0.3900
ATLANTIC AMERICAN CORP,aame,6540,1.8900,1.7700,1.8900,1.7700
AARONS INC,aan,888581,23.7900,23.1900,23.6600,23.4400
AAON INC,aaon,229110,18.0600,16.5000,17.9500,16.5200
ADVANCE AUTO PARTS INC,aap,2584327,57.1000,54.9700,56.0000,56.1400
APPLE INC,aapl,30933457,378.4300,361.3700,378.4300,366.8500
