AGILENT TECHNOLOGIES INC,a,2287162,34.3900,33.2200,33.2600,33.9400
ALCOA INC,aa,13051249,9.0800,8.8300,8.8500,8.9100
ASSET ACCEPTANCE CAPITAL CORP,aacc,5440,3.1500,2.9900,2.9900,3.0000
null,aacou,1500,9.9600,9.9600,9.9600,9.9600
ATLANTIC AMERICAN CORP,aame,200,1.9900,1.9900,1.9900,1.9900
AARONS INC,aan,175894,24.3400,23.8900,23.8900,24.1000
AAON INC,aaon,54433,19.1700,18.9400,19.0000,18.9900
ADVANCE AUTO PARTS INC,aap,474650,67.5300,66.0400,66.5800,66.9200
APPLE INC,aapl,9481998,371.1500,363.3200,365.6000,365.2100
null,aar,19769,8.8900,8.5200,8.5300,8.6900
